predict_datetime,link_id,predict_arrive_time
2016-03-04 00:00:00,5566,2016-03-04 00:00:19
2016-03-04 00:00:00,2532,2016-03-04 00:00:23
2016-03-04 00:00:00,9244,2016-03-04 00:00:33
2016-03-04 00:00:00,9525,2016-03-04 00:00:36
2016-03-04 00:00:00,9813,2016-03-04 00:00:37
2016-03-04 00:00:00,8243,2016-03-04 00:00:43
2016-03-04 00:00:00,7243,2016-03-04 00:00:54
2016-03-04 00:00:00,7934,2016-03-04 00:00:59
2016-03-04 00:00:00,7886,2016-03-04 00:01:21
2016-03-04 00:00:00,9063,2016-03-04 00:01:36
2016-03-04 00:00:00,0163,2016-03-04 00:02:03
2016-03-04 00:00:00,4514,2016-03-04 00:02:24
2016-03-04 00:00:00,4594,2016-03-04 00:03:10
2016-03-04 00:00:00,5594,2016-03-04 00:03:14
2016-03-04 00:00:00,5334,2016-03-04 00:03:24
2016-03-04 00:00:00,6334,2016-03-04 00:03:33
2016-03-04 00:00:00,8421,2016-03-04 00:03:52
2016-03-04 00:10:00,5566,2016-03-04 00:10:15
2016-03-04 00:10:00,2532,2016-03-04 00:10:18
2016-03-04 00:10:00,9244,2016-03-04 00:10:27
2016-03-04 00:10:00,9525,2016-03-04 00:10:29
2016-03-04 00:10:00,9813,2016-03-04 00:10:30
2016-03-04 00:10:00,8243,2016-03-04 00:10:57
2016-03-04 00:10:00,7243,2016-03-04 00:11:03
2016-03-04 00:10:00,7934,2016-03-04 00:11:06
2016-03-04 00:10:00,7886,2016-03-04 00:11:28
2016-03-04 00:10:00,9063,2016-03-04 00:11:40
2016-03-04 00:10:00,0163,2016-03-04 00:12:08
2016-03-04 00:10:00,4514,2016-03-04 00:12:17
2016-03-04 00:10:00,4594,2016-03-04 00:13:02
2016-03-04 00:10:00,5594,2016-03-04 00:13:07
2016-03-04 00:10:00,5334,2016-03-04 00:13:20
2016-03-04 00:10:00,6334,2016-03-04 00:13:29
2016-03-04 00:10:00,8421,2016-03-04 00:14:00
2016-03-04 00:20:00,5566,2016-03-04 00:20:20
2016-03-04 00:20:00,2532,2016-03-04 00:20:25
2016-03-04 00:20:00,9244,2016-03-04 00:20:35
2016-03-04 00:20:00,9525,2016-03-04 00:20:37
2016-03-04 00:20:00,9813,2016-03-04 00:20:39
2016-03-04 00:20:00,8243,2016-03-04 00:20:43
2016-03-04 00:20:00,7243,2016-03-04 00:20:48
2016-03-04 00:20:00,7934,2016-03-04 00:20:52
2016-03-04 00:20:00,7886,2016-03-04 00:21:21
2016-03-04 00:20:00,9063,2016-03-04 00:21:35
2016-03-04 00:20:00,0163,2016-03-04 00:21:59
2016-03-04 00:20:00,4514,2016-03-04 00:22:06
2016-03-04 00:20:00,4594,2016-03-04 00:23:03
2016-03-04 00:20:00,5594,2016-03-04 00:23:09
2016-03-04 00:20:00,5334,2016-03-04 00:23:17
2016-03-04 00:20:00,6334,2016-03-04 00:23:24
2016-03-04 00:20:00,8421,2016-03-04 00:23:48
2016-03-04 00:30:00,5566,2016-03-04 00:30:24
2016-03-04 00:30:00,2532,2016-03-04 00:30:29
2016-03-04 00:30:00,9244,2016-03-04 00:30:40
2016-03-04 00:30:00,9525,2016-03-04 00:30:42
2016-03-04 00:30:00,9813,2016-03-04 00:30:45
2016-03-04 00:30:00,8243,2016-03-04 00:30:50
2016-03-04 00:30:00,7243,2016-03-04 00:31:14
2016-03-04 00:30:00,7934,2016-03-04 00:31:18
2016-03-04 00:30:00,7886,2016-03-04 00:31:49
2016-03-04 00:30:00,9063,2016-03-04 00:32:04
2016-03-04 00:30:00,0163,2016-03-04 00:32:28
2016-03-04 00:30:00,4514,2016-03-04 00:32:37
2016-03-04 00:30:00,4594,2016-03-04 00:33:21
2016-03-04 00:30:00,5594,2016-03-04 00:33:25
2016-03-04 00:30:00,5334,2016-03-04 00:33:35
2016-03-04 00:30:00,6334,2016-03-04 00:33:47
