predict_datetime,link_id,predict_arrive_time
2016-03-04 00:00:00,0863,2016-03-04 00:00:07
2016-03-04 00:00:00,5681,2016-03-04 00:00:10
2016-03-04 00:00:00,6681,2016-03-04 00:00:11
2016-03-04 00:00:00,0329,2016-03-04 00:00:41
2016-03-04 00:00:00,2418,2016-03-04 00:00:44
2016-03-04 00:00:00,1784,2016-03-04 00:00:54
2016-03-04 00:00:00,0784,2016-03-04 00:01:20
2016-03-04 00:00:00,8593,2016-03-04 00:01:33
2016-03-04 00:00:00,8063,2016-03-04 00:01:56
2016-03-04 00:00:00,7063,2016-03-04 00:02:09
2016-03-04 00:00:00,2541,2016-03-04 00:02:41
2016-03-04 00:00:00,6918,2016-03-04 00:02:52
2016-03-04 00:00:00,9674,2016-03-04 00:02:59
2016-03-04 00:00:00,0913,2016-03-04 00:03:04
2016-03-04 00:00:00,9243,2016-03-04 00:03:06
2016-03-04 00:00:00,0344,2016-03-04 00:03:08
2016-03-04 00:00:00,8175,2016-03-04 00:03:18
2016-03-04 00:00:00,9175,2016-03-04 00:03:21
2016-03-04 00:00:00,6566,2016-03-04 00:03:40
2016-03-04 00:00:00,2759,2016-03-04 00:03:45
2016-03-04 00:00:00,3759,2016-03-04 00:03:53
2016-03-04 00:10:00,0863,2016-03-04 00:10:06
2016-03-04 00:10:00,5681,2016-03-04 00:10:09
2016-03-04 00:10:00,6681,2016-03-04 00:10:11
2016-03-04 00:10:00,0329,2016-03-04 00:10:39
2016-03-04 00:10:00,2418,2016-03-04 00:10:42
2016-03-04 00:10:00,1784,2016-03-04 00:10:53
2016-03-04 00:10:00,0784,2016-03-04 00:11:29
2016-03-04 00:10:00,8593,2016-03-04 00:11:41
2016-03-04 00:10:00,8063,2016-03-04 00:12:13
2016-03-04 00:10:00,7063,2016-03-04 00:12:33
2016-03-04 00:10:00,2541,2016-03-04 00:13:21
2016-03-04 00:10:00,6918,2016-03-04 00:13:29
2016-03-04 00:10:00,9674,2016-03-04 00:13:35
2016-03-04 00:10:00,0913,2016-03-04 00:13:40
2016-03-04 00:10:00,9243,2016-03-04 00:13:42
2016-03-04 00:10:00,0344,2016-03-04 00:13:44
2016-03-04 00:10:00,8175,2016-03-04 00:13:55
2016-03-04 00:10:00,9175,2016-03-04 00:14:00
2016-03-04 00:10:00,6566,2016-03-04 00:14:20
2016-03-04 00:10:00,2759,2016-03-04 00:14:26
2016-03-04 00:10:00,3759,2016-03-04 00:14:34
2016-03-04 00:20:00,0863,2016-03-04 00:20:08
2016-03-04 00:20:00,5681,2016-03-04 00:20:11
2016-03-04 00:20:00,6681,2016-03-04 00:20:12
2016-03-04 00:20:00,0329,2016-03-04 00:20:27
2016-03-04 00:20:00,2418,2016-03-04 00:20:31
2016-03-04 00:20:00,1784,2016-03-04 00:21:02
2016-03-04 00:20:00,0784,2016-03-04 00:21:29
2016-03-04 00:20:00,8593,2016-03-04 00:21:36
2016-03-04 00:20:00,8063,2016-03-04 00:22:00
2016-03-04 00:20:00,7063,2016-03-04 00:22:20
2016-03-04 00:20:00,2541,2016-03-04 00:23:02
2016-03-04 00:20:00,6918,2016-03-04 00:23:10
2016-03-04 00:20:00,9674,2016-03-04 00:23:18
2016-03-04 00:20:00,0913,2016-03-04 00:23:23
2016-03-04 00:20:00,9243,2016-03-04 00:23:25
2016-03-04 00:20:00,0344,2016-03-04 00:23:28
2016-03-04 00:20:00,8175,2016-03-04 00:23:38
2016-03-04 00:20:00,9175,2016-03-04 00:23:42
2016-03-04 00:20:00,6566,2016-03-04 00:24:03
2016-03-04 00:20:00,2759,2016-03-04 00:24:13
2016-03-04 00:20:00,3759,2016-03-04 00:24:19
2016-03-04 00:30:00,0863,2016-03-04 00:30:07
2016-03-04 00:30:00,5681,2016-03-04 00:30:11
2016-03-04 00:30:00,6681,2016-03-04 00:30:12
2016-03-04 00:30:00,0329,2016-03-04 00:30:44
2016-03-04 00:30:00,2418,2016-03-04 00:30:46
2016-03-04 00:30:00,1784,2016-03-04 00:30:56
2016-03-04 00:30:00,0784,2016-03-04 00:31:25
2016-03-04 00:30:00,8593,2016-03-04 00:31:46
2016-03-04 00:30:00,8063,2016-03-04 00:32:12
2016-03-04 00:30:00,7063,2016-03-04 00:32:25
2016-03-04 00:30:00,2541,2016-03-04 00:33:14
2016-03-04 00:30:00,6918,2016-03-04 00:33:35
2016-03-04 00:30:00,9674,2016-03-04 00:33:39
2016-03-04 00:30:00,0913,2016-03-04 00:33:44
2016-03-04 00:30:00,9243,2016-03-04 00:33:45
2016-03-04 00:30:00,0344,2016-03-04 00:33:46
2016-03-04 00:30:00,8175,2016-03-04 00:33:55
2016-03-04 00:30:00,9175,2016-03-04 00:33:57
2016-03-04 00:30:00,6566,2016-03-04 00:34:14
2016-03-04 00:30:00,2759,2016-03-04 00:34:19
2016-03-04 00:30:00,3759,2016-03-04 00:34:27
2016-03-04 00:40:00,0863,2016-03-04 00:40:06
2016-03-04 00:40:00,5681,2016-03-04 00:40:09
2016-03-04 00:40:00,6681,2016-03-04 00:40:10
2016-03-04 00:40:00,0329,2016-03-04 00:40:34
2016-03-04 00:40:00,2418,2016-03-04 00:40:37
2016-03-04 00:40:00,1784,2016-03-04 00:40:49
2016-03-04 00:40:00,0784,2016-03-04 00:41:42
2016-03-04 00:40:00,8593,2016-03-04 00:41:50
2016-03-04 00:40:00,8063,2016-03-04 00:42:23
2016-03-04 00:40:00,7063,2016-03-04 00:42:35
2016-03-04 00:40:00,2541,2016-03-04 00:43:13
2016-03-04 00:40:00,6918,2016-03-04 00:43:22
2016-03-04 00:40:00,9674,2016-03-04 00:43:27
2016-03-04 00:40:00,0913,2016-03-04 00:43:32
2016-03-04 00:40:00,9243,2016-03-04 00:43:34
2016-03-04 00:40:00,0344,2016-03-04 00:43:36
2016-03-04 00:40:00,8175,2016-03-04 00:43:45
2016-03-04 00:40:00,9175,2016-03-04 00:43:49
2016-03-04 00:40:00,6566,2016-03-04 00:44:20
2016-03-04 00:40:00,2759,2016-03-04 00:44:25
2016-03-04 00:40:00,3759,2016-03-04 00:44:34
2016-03-04 00:50:00,0863,2016-03-04 00:50:08
2016-03-04 00:50:00,5681,2016-03-04 00:50:11
2016-03-04 00:50:00,6681,2016-03-04 00:50:13
2016-03-04 00:50:00,0329,2016-03-04 00:50:40
2016-03-04 00:50:00,2418,2016-03-04 00:50:43
2016-03-04 00:50:00,1784,2016-03-04 00:50:52
2016-03-04 00:50:00,0784,2016-03-04 00:52:05
2016-03-04 00:50:00,8593,2016-03-04 00:52:14
2016-03-04 00:50:00,8063,2016-03-04 00:52:41
2016-03-04 00:50:00,7063,2016-03-04 00:52:54
2016-03-04 00:50:00,2541,2016-03-04 00:53:27
2016-03-04 00:50:00,6918,2016-03-04 00:53:32
2016-03-04 00:50:00,9674,2016-03-04 00:53:39
